Value,yy,mm
1.645870909,1920,8
2.72874568,1920,9
1.802542152,1920,10
2.063057466,1920,11
1.63056584,1920,12
1.523265787,1921,1
1.511910413,1921,2
1.709230603,1921,3
0.742213559,1921,4
2.74454446,1921,5
2.047752397,1921,6
2.391869592,1921,7
2.138595387,1921,8
1.984228132,1921,9
2.620951914,1921,10
1.416624016,1921,11
1.904905087,1921,12
2.112264085,1922,1
1.547293099,1922,2
1.055226904,1922,3
0.749948378,1922,4
1.858496168,1922,5
2.47958574,1922,6
2.062234613,1922,7
1.806162706,1922,8
2.167888959,1922,9
2.299051755,1922,10
2.235692061,1922,11
2.75738097,1922,12
1.478338004,1923,1
0.997791753,1923,2
0.29853113,1923,3
2.107656108,1923,4
1.811758108,1923,5
1.988671539,1923,6
1.733422486,1923,7
1.404445789,1923,8
1.577244955,1923,9
1.344377508,1923,10
1.292044046,1923,11
1.655416006,1923,12
0.090184707,1924,1
1.559306756,1924,2
0.895922531,1924,3
1.865901846,1924,4
2.433835104,1924,5
2.188954001,1924,6
2.098275581,1924,7
2.309584275,1924,8
2.222690981,1924,9
2.333940729,1924,10
2.895620302,1924,11
1.654593153,1924,12
2.22252641,1925,1
1.238064878,1925,2
1.27476413,1925,3
0.59985996,1925,4
1.736384758,1925,5
2.119834334,1925,6
1.363632272,1925,7
1.470932325,1925,8
1.114307762,1925,9
1.220126679,1925,10
1.325451885,1925,11
0.740403282,1925,12
1.009640839,1926,1
-0.400400352,1926,2
0.22579091,1926,3
0.788951619,1926,4
1.990810957,1926,5
1.424358836,1926,6
1.859319021,1926,7
1.795630186,1926,8
2.11604921,1926,9
2.198334527,1926,10
1.979784725,1926,11
2.287696381,1926,12
1.836772844,1927,1
0.516422649,1927,2
1.939135778,1927,3
1.241850003,1927,4
1.706762043,1927,5
2.03047248,1927,6
2.288354663,1927,7
1.310805098,1927,8
1.741486447,1927,9
1.392432133,1927,10
1.10854779,1927,11
1.278713825,1927,12
0.96586505,1928,1
0.910404746,1928,2
1.258142496,1928,3
1.240368867,1928,4
1.596170578,1928,5
1.691621545,1928,6
1.821467775,1928,7
1.905234228,1928,8
2.411782639,1928,9
1.925970128,1928,10
1.801390158,1928,11
2.003976608,1928,12
0.444998994,1929,1
0.936736048,1929,2
1.002728872,1929,3
1.172565766,1929,4
1.548445094,1929,5
1.849773924,1929,6
1.644554344,1929,7
1.204986181,1929,8
1.305867979,1929,9
2.021914807,1929,10
1.523924069,1929,11
0.90875904,1929,12
0.811168654,1930,1
0.02847072,1930,2
0.221512073,1930,3
0.531727718,1930,4
1.118586598,1930,5
1.575763819,1930,6
1.031528733,1930,7
